filename,basename,variable,scenario,gcm,model,timestep,spatial_res,biascorrection,calendar,units,variable_name_long,variable_units,daily_variable_name_long
PETsrad_ssp126_EC-Earth3_CCAM_daily_NZ5km_bc.nc,PETsrad_ssp126_EC-Earth3_CCAM_daily_NZ5km_bc,PETsrad,ssp126,EC-Earth3,CCAM,daily,NZ5km,bc,NA,NA,Daily Potential Evapotranspiration,NA,Daily Potential Evapotranspiration
PETsrad_ssp245_EC-Earth3_CCAM_daily_NZ5km_bc.nc,PETsrad_ssp245_EC-Earth3_CCAM_daily_NZ5km_bc,PETsrad,ssp245,EC-Earth3,CCAM,daily,NZ5km,bc,NA,NA,Daily Potential Evapotranspiration,NA,Daily Potential Evapotranspiration
PETsrad_ssp370_EC-Earth3_CCAM_daily_NZ5km_bc.nc,PETsrad_ssp370_EC-Earth3_CCAM_daily_NZ5km_bc,PETsrad,ssp370,EC-Earth3,CCAM,daily,NZ5km,bc,NA,NA,Daily Potential Evapotranspiration,NA,Daily Potential Evapotranspiration
PETsrad_ssp585_EC-Earth3_CCAM_daily_NZ5km_bc.nc,PETsrad_ssp585_EC-Earth3_CCAM_daily_NZ5km_bc,PETsrad,ssp585,EC-Earth3,CCAM,daily,NZ5km,bc,NA,NA,Daily Potential Evapotranspiration,NA,Daily Potential Evapotranspiration
pr_historical_EC-Earth3_CCAM_daily_NZ5km_bc.nc,pr_historical_EC-Earth3_CCAM_daily_NZ5km_bc,pr,historical,EC-Earth3,CCAM,daily,NZ5km,bc,365_day,mm/day,Daily accumulated precipitation,NA,Daily accumulated precipitation
pr_ssp126_EC-Earth3_CCAM_daily_NZ5km_bc.nc,pr_ssp126_EC-Earth3_CCAM_daily_NZ5km_bc,pr,ssp126,EC-Earth3,CCAM,daily,NZ5km,bc,365_day,mm/day,Daily accumulated precipitation,NA,Daily accumulated precipitation
pr_ssp245_EC-Earth3_CCAM_daily_NZ5km_bc.nc,pr_ssp245_EC-Earth3_CCAM_daily_NZ5km_bc,pr,ssp245,EC-Earth3,CCAM,daily,NZ5km,bc,365_day,mm/day,Daily accumulated precipitation,NA,Daily accumulated precipitation
pr_ssp370_EC-Earth3_CCAM_daily_NZ5km_bc.nc,pr_ssp370_EC-Earth3_CCAM_daily_NZ5km_bc,pr,ssp370,EC-Earth3,CCAM,daily,NZ5km,bc,365_day,mm/day,Daily accumulated precipitation,NA,Daily accumulated precipitation
pr_ssp585_EC-Earth3_CCAM_daily_NZ5km_bc.nc,pr_ssp585_EC-Earth3_CCAM_daily_NZ5km_bc,pr,ssp585,EC-Earth3,CCAM,daily,NZ5km,bc,365_day,mm/day,Daily accumulated precipitation,NA,Daily accumulated precipitation
rsds_historical_EC-Earth3_CCAM_daily_NZ5km_raw.nc,rsds_historical_EC-Earth3_CCAM_daily_NZ5km_raw,rsds,historical,EC-Earth3,CCAM,daily,NZ5km,raw,365_day,W m-2,Average solar radiation,W/m2,Daily mean incoming solar radiation
rsds_ssp126_EC-Earth3_CCAM_daily_NZ5km_raw.nc,rsds_ssp126_EC-Earth3_CCAM_daily_NZ5km_raw,rsds,ssp126,EC-Earth3,CCAM,daily,NZ5km,raw,365_day,W m-2,Average solar radiation,W/m2,Daily mean incoming solar radiation
rsds_ssp245_EC-Earth3_CCAM_daily_NZ5km_raw.nc,rsds_ssp245_EC-Earth3_CCAM_daily_NZ5km_raw,rsds,ssp245,EC-Earth3,CCAM,daily,NZ5km,raw,365_day,W m-2,Average solar radiation,W/m2,Daily mean incoming solar radiation
rsds_ssp370_EC-Earth3_CCAM_daily_NZ5km_raw.nc,rsds_ssp370_EC-Earth3_CCAM_daily_NZ5km_raw,rsds,ssp370,EC-Earth3,CCAM,daily,NZ5km,raw,365_day,W m-2,Average solar radiation,W/m2,Daily mean incoming solar radiation
rsds_ssp585_EC-Earth3_CCAM_daily_NZ5km_raw.nc,rsds_ssp585_EC-Earth3_CCAM_daily_NZ5km_raw,rsds,ssp585,EC-Earth3,CCAM,daily,NZ5km,raw,365_day,W m-2,Average solar radiation,W/m2,Daily mean incoming solar radiation
sfcWind_historical_EC-Earth3_CCAM_daily_NZ5km_raw.nc,sfcWind_historical_EC-Earth3_CCAM_daily_NZ5km_raw,sfcWind,historical,EC-Earth3,CCAM,daily,NZ5km,raw,365_day,m s-1,Average wind speed,m/s,Daily mean 10m wind speed
sfcWind_ssp126_EC-Earth3_CCAM_daily_NZ5km_raw.nc,sfcWind_ssp126_EC-Earth3_CCAM_daily_NZ5km_raw,sfcWind,ssp126,EC-Earth3,CCAM,daily,NZ5km,raw,365_day,m s-1,Average wind speed,m/s,Daily mean 10m wind speed
sfcWind_ssp245_EC-Earth3_CCAM_daily_NZ5km_raw.nc,sfcWind_ssp245_EC-Earth3_CCAM_daily_NZ5km_raw,sfcWind,ssp245,EC-Earth3,CCAM,daily,NZ5km,raw,365_day,m s-1,Average wind speed,m/s,Daily mean 10m wind speed
sfcWind_ssp370_EC-Earth3_CCAM_daily_NZ5km_raw.nc,sfcWind_ssp370_EC-Earth3_CCAM_daily_NZ5km_raw,sfcWind,ssp370,EC-Earth3,CCAM,daily,NZ5km,raw,365_day,m s-1,Average wind speed,m/s,Daily mean 10m wind speed
sfcWind_ssp585_EC-Earth3_CCAM_daily_NZ5km_raw.nc,sfcWind_ssp585_EC-Earth3_CCAM_daily_NZ5km_raw,sfcWind,ssp585,EC-Earth3,CCAM,daily,NZ5km,raw,365_day,m s-1,Average wind speed,m/s,Daily mean 10m wind speed
sfcWindmax_historical_EC-Earth3_CCAM_daily_NZ5km_raw.nc,sfcWindmax_historical_EC-Earth3_CCAM_daily_NZ5km_raw,sfcWindmax,historical,EC-Earth3,CCAM,daily,NZ5km,raw,365_day,m s-1,Daily max 10m wind speed,NA,Daily max 10m wind speed
sfcWindmax_ssp126_EC-Earth3_CCAM_daily_NZ5km_raw.nc,sfcWindmax_ssp126_EC-Earth3_CCAM_daily_NZ5km_raw,sfcWindmax,ssp126,EC-Earth3,CCAM,daily,NZ5km,raw,365_day,m s-1,Daily max 10m wind speed,NA,Daily max 10m wind speed
sfcWindmax_ssp245_EC-Earth3_CCAM_daily_NZ5km_raw.nc,sfcWindmax_ssp245_EC-Earth3_CCAM_daily_NZ5km_raw,sfcWindmax,ssp245,EC-Earth3,CCAM,daily,NZ5km,raw,365_day,m s-1,Daily max 10m wind speed,NA,Daily max 10m wind speed
sfcWindmax_ssp370_EC-Earth3_CCAM_daily_NZ5km_raw.nc,sfcWindmax_ssp370_EC-Earth3_CCAM_daily_NZ5km_raw,sfcWindmax,ssp370,EC-Earth3,CCAM,daily,NZ5km,raw,365_day,m s-1,Daily max 10m wind speed,NA,Daily max 10m wind speed
sfcWindmax_ssp585_EC-Earth3_CCAM_daily_NZ5km_raw.nc,sfcWindmax_ssp585_EC-Earth3_CCAM_daily_NZ5km_raw,sfcWindmax,ssp585,EC-Earth3,CCAM,daily,NZ5km,raw,365_day,m s-1,Daily max 10m wind speed,NA,Daily max 10m wind speed
tas_historical_EC-Earth3_CCAM_daily_NZ5km_bc.nc,tas_historical_EC-Earth3_CCAM_daily_NZ5km_bc,tas,historical,EC-Earth3,CCAM,daily,NZ5km,bc,365_day,K,Daily mean 2m air temperature,NA,Daily mean 2m air temperature
tas_ssp126_EC-Earth3_CCAM_daily_NZ5km_bc.nc,tas_ssp126_EC-Earth3_CCAM_daily_NZ5km_bc,tas,ssp126,EC-Earth3,CCAM,daily,NZ5km,bc,365_day,K,Daily mean 2m air temperature,NA,Daily mean 2m air temperature
tas_ssp245_EC-Earth3_CCAM_daily_NZ5km_bc.nc,tas_ssp245_EC-Earth3_CCAM_daily_NZ5km_bc,tas,ssp245,EC-Earth3,CCAM,daily,NZ5km,bc,365_day,K,Daily mean 2m air temperature,NA,Daily mean 2m air temperature
tas_ssp370_EC-Earth3_CCAM_daily_NZ5km_bc.nc,tas_ssp370_EC-Earth3_CCAM_daily_NZ5km_bc,tas,ssp370,EC-Earth3,CCAM,daily,NZ5km,bc,365_day,K,Daily mean 2m air temperature,NA,Daily mean 2m air temperature
tas_ssp585_EC-Earth3_CCAM_daily_NZ5km_bc.nc,tas_ssp585_EC-Earth3_CCAM_daily_NZ5km_bc,tas,ssp585,EC-Earth3,CCAM,daily,NZ5km,bc,365_day,K,Daily mean 2m air temperature,NA,Daily mean 2m air temperature
tasmax_historical_EC-Earth3_CCAM_daily_NZ5km_bc.nc,tasmax_historical_EC-Earth3_CCAM_daily_NZ5km_bc,tasmax,historical,EC-Earth3,CCAM,daily,NZ5km,bc,365_day,K,Daily maximum 2m air temperature,NA,Daily maximum 2m air temperature
tasmax_ssp126_EC-Earth3_CCAM_daily_NZ5km_bc.nc,tasmax_ssp126_EC-Earth3_CCAM_daily_NZ5km_bc,tasmax,ssp126,EC-Earth3,CCAM,daily,NZ5km,bc,365_day,K,Daily maximum 2m air temperature,NA,Daily maximum 2m air temperature
tasmax_ssp245_EC-Earth3_CCAM_daily_NZ5km_bc.nc,tasmax_ssp245_EC-Earth3_CCAM_daily_NZ5km_bc,tasmax,ssp245,EC-Earth3,CCAM,daily,NZ5km,bc,365_day,K,Daily maximum 2m air temperature,NA,Daily maximum 2m air temperature
tasmax_ssp370_EC-Earth3_CCAM_daily_NZ5km_bc.nc,tasmax_ssp370_EC-Earth3_CCAM_daily_NZ5km_bc,tasmax,ssp370,EC-Earth3,CCAM,daily,NZ5km,bc,365_day,K,Daily maximum 2m air temperature,NA,Daily maximum 2m air temperature
tasmax_ssp585_EC-Earth3_CCAM_daily_NZ5km_bc.nc,tasmax_ssp585_EC-Earth3_CCAM_daily_NZ5km_bc,tasmax,ssp585,EC-Earth3,CCAM,daily,NZ5km,bc,365_day,K,Daily maximum 2m air temperature,NA,Daily maximum 2m air temperature
tasmin_historical_EC-Earth3_CCAM_daily_NZ5km_bc.nc,tasmin_historical_EC-Earth3_CCAM_daily_NZ5km_bc,tasmin,historical,EC-Earth3,CCAM,daily,NZ5km,bc,365_day,K,Daily minimum 2m air temperature,NA,Daily minimum 2m air temperature
tasmin_ssp126_EC-Earth3_CCAM_daily_NZ5km_bc.nc,tasmin_ssp126_EC-Earth3_CCAM_daily_NZ5km_bc,tasmin,ssp126,EC-Earth3,CCAM,daily,NZ5km,bc,365_day,K,Daily minimum 2m air temperature,NA,Daily minimum 2m air temperature
tasmin_ssp245_EC-Earth3_CCAM_daily_NZ5km_bc.nc,tasmin_ssp245_EC-Earth3_CCAM_daily_NZ5km_bc,tasmin,ssp245,EC-Earth3,CCAM,daily,NZ5km,bc,365_day,K,Daily minimum 2m air temperature,NA,Daily minimum 2m air temperature
tasmin_ssp370_EC-Earth3_CCAM_daily_NZ5km_bc.nc,tasmin_ssp370_EC-Earth3_CCAM_daily_NZ5km_bc,tasmin,ssp370,EC-Earth3,CCAM,daily,NZ5km,bc,365_day,K,Daily minimum 2m air temperature,NA,Daily minimum 2m air temperature
tasmin_ssp585_EC-Earth3_CCAM_daily_NZ5km_bc.nc,tasmin_ssp585_EC-Earth3_CCAM_daily_NZ5km_bc,tasmin,ssp585,EC-Earth3,CCAM,daily,NZ5km,bc,365_day,K,Daily minimum 2m air temperature,NA,Daily minimum 2m air temperature
hurs_historical_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,hurs_historical_GFDL-ESM4_CCAM_daily_NZ5km_raw,hurs,historical,GFDL-ESM4,CCAM,daily,NZ5km,raw,365_day,%,Average relative humidity,%,Daily mean 2m relative humidity
hurs_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,hurs_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_raw,hurs,ssp126,GFDL-ESM4,CCAM,daily,NZ5km,raw,365_day,%,Average relative humidity,%,Daily mean 2m relative humidity
hurs_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,hurs_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_raw,hurs,ssp245,GFDL-ESM4,CCAM,daily,NZ5km,raw,365_day,%,Average relative humidity,%,Daily mean 2m relative humidity
hurs_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,hurs_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_raw,hurs,ssp370,GFDL-ESM4,CCAM,daily,NZ5km,raw,365_day,%,Average relative humidity,%,Daily mean 2m relative humidity
hurs_ssp585_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,hurs_ssp585_GFDL-ESM4_CCAM_daily_NZ5km_raw,hurs,ssp585,GFDL-ESM4,CCAM,daily,NZ5km,raw,365_day,%,Average relative humidity,%,Daily mean 2m relative humidity
PEDsrad_historical_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,PEDsrad_historical_GFDL-ESM4_CCAM_daily_NZ5km_bc,PEDsrad,historical,GFDL-ESM4,CCAM,daily,NZ5km,bc,365_day,mm,Potential Evapotranspiration Deficit (PED),mm,Daily Potential Evapotranspiration Deficit
PEDsrad_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,PEDsrad_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc,PEDsrad,ssp126,GFDL-ESM4,CCAM,daily,NZ5km,bc,365_day,mm,Potential Evapotranspiration Deficit (PED),mm,Daily Potential Evapotranspiration Deficit
PEDsrad_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,PEDsrad_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_bc,PEDsrad,ssp245,GFDL-ESM4,CCAM,daily,NZ5km,bc,365_day,mm,Potential Evapotranspiration Deficit (PED),mm,Daily Potential Evapotranspiration Deficit
PEDsrad_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,PEDsrad_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_bc,PEDsrad,ssp370,GFDL-ESM4,CCAM,daily,NZ5km,bc,365_day,mm,Potential Evapotranspiration Deficit (PED),mm,Daily Potential Evapotranspiration Deficit
PEDsrad_ssp585_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,PEDsrad_ssp585_GFDL-ESM4_CCAM_daily_NZ5km_bc,PEDsrad,ssp585,GFDL-ESM4,CCAM,daily,NZ5km,bc,365_day,mm,Potential Evapotranspiration Deficit (PED),mm,Daily Potential Evapotranspiration Deficit
PETsrad_historical_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,PETsrad_historical_GFDL-ESM4_CCAM_daily_NZ5km_bc,PETsrad,historical,GFDL-ESM4,CCAM,daily,NZ5km,bc,NA,NA,Daily Potential Evapotranspiration,NA,Daily Potential Evapotranspiration
PETsrad_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,PETsrad_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc,PETsrad,ssp126,GFDL-ESM4,CCAM,daily,NZ5km,bc,NA,NA,Daily Potential Evapotranspiration,NA,Daily Potential Evapotranspiration
PETsrad_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,PETsrad_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_bc,PETsrad,ssp245,GFDL-ESM4,CCAM,daily,NZ5km,bc,NA,NA,Daily Potential Evapotranspiration,NA,Daily Potential Evapotranspiration
PETsrad_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,PETsrad_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_bc,PETsrad,ssp370,GFDL-ESM4,CCAM,daily,NZ5km,bc,NA,NA,Daily Potential Evapotranspiration,NA,Daily Potential Evapotranspiration
PETsrad_ssp585_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,PETsrad_ssp585_GFDL-ESM4_CCAM_daily_NZ5km_bc,PETsrad,ssp585,GFDL-ESM4,CCAM,daily,NZ5km,bc,NA,NA,Daily Potential Evapotranspiration,NA,Daily Potential Evapotranspiration
pr_historical_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,pr_historical_GFDL-ESM4_CCAM_daily_NZ5km_bc,pr,historical,GFDL-ESM4,CCAM,daily,NZ5km,bc,365_day,mm/day,Daily accumulated precipitation,NA,Daily accumulated precipitation
pr_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,pr_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc,pr,ssp126,GFDL-ESM4,CCAM,daily,NZ5km,bc,365_day,mm/day,Daily accumulated precipitation,NA,Daily accumulated precipitation
pr_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,pr_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_bc,pr,ssp245,GFDL-ESM4,CCAM,daily,NZ5km,bc,365_day,mm/day,Daily accumulated precipitation,NA,Daily accumulated precipitation
pr_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,pr_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_bc,pr,ssp370,GFDL-ESM4,CCAM,daily,NZ5km,bc,365_day,mm/day,Daily accumulated precipitation,NA,Daily accumulated precipitation
pr_ssp585_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,pr_ssp585_GFDL-ESM4_CCAM_daily_NZ5km_bc,pr,ssp585,GFDL-ESM4,CCAM,daily,NZ5km,bc,365_day,mm/day,Daily accumulated precipitation,NA,Daily accumulated precipitation
rsds_historical_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,rsds_historical_GFDL-ESM4_CCAM_daily_NZ5km_raw,rsds,historical,GFDL-ESM4,CCAM,daily,NZ5km,raw,365_day,W m-2,Average solar radiation,W/m2,Daily mean incoming solar radiation
rsds_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,rsds_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_raw,rsds,ssp126,GFDL-ESM4,CCAM,daily,NZ5km,raw,365_day,W m-2,Average solar radiation,W/m2,Daily mean incoming solar radiation
rsds_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,rsds_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_raw,rsds,ssp245,GFDL-ESM4,CCAM,daily,NZ5km,raw,365_day,W m-2,Average solar radiation,W/m2,Daily mean incoming solar radiation
rsds_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,rsds_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_raw,rsds,ssp370,GFDL-ESM4,CCAM,daily,NZ5km,raw,365_day,W m-2,Average solar radiation,W/m2,Daily mean incoming solar radiation
rsds_ssp585_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,rsds_ssp585_GFDL-ESM4_CCAM_daily_NZ5km_raw,rsds,ssp585,GFDL-ESM4,CCAM,daily,NZ5km,raw,365_day,W m-2,Average solar radiation,W/m2,Daily mean incoming solar radiation
sfcWind_historical_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,sfcWind_historical_GFDL-ESM4_CCAM_daily_NZ5km_raw,sfcWind,historical,GFDL-ESM4,CCAM,daily,NZ5km,raw,365_day,m s-1,Average wind speed,m/s,Daily mean 10m wind speed
sfcWind_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,sfcWind_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_raw,sfcWind,ssp126,GFDL-ESM4,CCAM,daily,NZ5km,raw,365_day,m s-1,Average wind speed,m/s,Daily mean 10m wind speed
sfcWind_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,sfcWind_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_raw,sfcWind,ssp245,GFDL-ESM4,CCAM,daily,NZ5km,raw,365_day,m s-1,Average wind speed,m/s,Daily mean 10m wind speed
sfcWind_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,sfcWind_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_raw,sfcWind,ssp370,GFDL-ESM4,CCAM,daily,NZ5km,raw,365_day,m s-1,Average wind speed,m/s,Daily mean 10m wind speed
sfcWind_ssp585_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,sfcWind_ssp585_GFDL-ESM4_CCAM_daily_NZ5km_raw,sfcWind,ssp585,GFDL-ESM4,CCAM,daily,NZ5km,raw,365_day,m s-1,Average wind speed,m/s,Daily mean 10m wind speed
sfcWindmax_historical_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,sfcWindmax_historical_GFDL-ESM4_CCAM_daily_NZ5km_raw,sfcWindmax,historical,GFDL-ESM4,CCAM,daily,NZ5km,raw,365_day,m s-1,Daily max 10m wind speed,NA,Daily max 10m wind speed
sfcWindmax_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,sfcWindmax_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_raw,sfcWindmax,ssp126,GFDL-ESM4,CCAM,daily,NZ5km,raw,365_day,m s-1,Daily max 10m wind speed,NA,Daily max 10m wind speed
sfcWindmax_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,sfcWindmax_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_raw,sfcWindmax,ssp245,GFDL-ESM4,CCAM,daily,NZ5km,raw,365_day,m s-1,Daily max 10m wind speed,NA,Daily max 10m wind speed
sfcWindmax_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,sfcWindmax_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_raw,sfcWindmax,ssp370,GFDL-ESM4,CCAM,daily,NZ5km,raw,365_day,m s-1,Daily max 10m wind speed,NA,Daily max 10m wind speed
sfcWindmax_ssp585_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,sfcWindmax_ssp585_GFDL-ESM4_CCAM_daily_NZ5km_raw,sfcWindmax,ssp585,GFDL-ESM4,CCAM,daily,NZ5km,raw,365_day,m s-1,Daily max 10m wind speed,NA,Daily max 10m wind speed
tas_historical_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,tas_historical_GFDL-ESM4_CCAM_daily_NZ5km_bc,tas,historical,GFDL-ESM4,CCAM,daily,NZ5km,bc,365_day,K,Daily mean 2m air temperature,NA,Daily mean 2m air temperature
tas_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,tas_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc,tas,ssp126,GFDL-ESM4,CCAM,daily,NZ5km,bc,365_day,K,Daily mean 2m air temperature,NA,Daily mean 2m air temperature
tas_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,tas_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_bc,tas,ssp245,GFDL-ESM4,CCAM,daily,NZ5km,bc,365_day,K,Daily mean 2m air temperature,NA,Daily mean 2m air temperature
tas_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,tas_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_bc,tas,ssp370,GFDL-ESM4,CCAM,daily,NZ5km,bc,365_day,K,Daily mean 2m air temperature,NA,Daily mean 2m air temperature
tas_ssp585_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,tas_ssp585_GFDL-ESM4_CCAM_daily_NZ5km_bc,tas,ssp585,GFDL-ESM4,CCAM,daily,NZ5km,bc,365_day,K,Daily mean 2m air temperature,NA,Daily mean 2m air temperature
tasmax_historical_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,tasmax_historical_GFDL-ESM4_CCAM_daily_NZ5km_bc,tasmax,historical,GFDL-ESM4,CCAM,daily,NZ5km,bc,365_day,K,Daily maximum 2m air temperature,NA,Daily maximum 2m air temperature
tasmax_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,tasmax_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc,tasmax,ssp126,GFDL-ESM4,CCAM,daily,NZ5km,bc,365_day,K,Daily maximum 2m air temperature,NA,Daily maximum 2m air temperature
tasmax_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,tasmax_ssp245_GFDL-ESM4_CCAM_daily_NZ5km_bc,tasmax,ssp245,GFDL-ESM4,CCAM,daily,NZ5km,bc,365_day,K,Daily maximum 2m air temperature,NA,Daily maximum 2m air temperature
tasmax_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,tasmax_ssp370_GFDL-ESM4_CCAM_daily_NZ5km_bc,tasmax,ssp370,GFDL-ESM4,CCAM,daily,NZ5km,bc,365_day,K,Daily maximum 2m air temperature,NA,Daily maximum 2m air temperature
tasmax_ssp585_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,tasmax_ssp585_GFDL-ESM4_CCAM_daily_NZ5km_bc,tasmax,ssp585,GFDL-ESM4,CCAM,daily,NZ5km,bc,365_day,K,Daily maximum 2m air temperature,NA,Daily maximum 2m air temperature
